POST_ID,TEXTO,LIKES
964296187363786,Webinar CDMYPE UGB,40,38
1352486781617764,"Atención: establecimientos de comida, no se lo pueden perder. Es indispensable la aplicación de protocolos de bioseguridad.
Compártelo con tus amigos.",1,16
1348952135304562,"Unión Europea en El Salvador was live.
June 12 at 3:07 PM ·",0,11
1342412862625156,Mañana.,2,27
700347570757097,"Webinar ""Crea tu tienda en línea en 24 horas""",83,86
1337550666444709,"No te lo puedes perder.
Conoceremos cómo hacer nuestra tienda en línea.",0,30
1336634689869640,"//CONTINUACIÓN
Este seminario es exclusivamente para personal Técnico y Asesores Generalista quienes brindan acompañamiento empresarial a las MYPES de la zona.",0,22
1332517043614738,"Evento a realizar con la finalidad de conocer el proceso a seguir cuando la MYPE busca a la Banca. (Antes del Covid-19).
Formulario se registro:
https://forms.gle/7UT6DjesmbHWtxX76
Este seminario es exclusivamente para personal Técnico y Asesores Generalista quienes brindan acompañamiento empresarial a las MYPES de la zona.",6,30
261439488380021,Webinario: ¿Cómo nuestras empresas familiares están enfrentando la crisis por COVID-19?,93,67
534413837226883,Webinar: Desafíos y Retos Post-Pandemia,90,69
1326985650834544,"CDMYPE UNIVO was live.
May 14 at 8:03 PM ·",0,20
1326915750841534,"Les invitamos a que puedan ser parte de este evento .
Foro Virtual: Desafíos que enfrentan las MYPES ante el Covid-19.
Hoy, 14 de mayo, a las 02:00 PM
Por Facebook Live.(Compartiremos la transmisión).",0,26
1326888054177637,"Ovidio Turcios
May 14 at 5:05 PM ·",0,28
1323450991188010,,0,7
1318037231729386,"Evento que será trasmitido por: ITV El Salvador.
https://m.facebook.com/itvelsalvador/",0,17
1298623623670747,"Nos unimos al dolor de nuestra compañera Licda. Ana Isabel Castellon, e imploramos al Altísimo que pueda darle el verdadero consuelo.",17,29
1292435664289543,"DOCS.GOOGLE.COM
Análisis del Impacto COVID 19 en las MYPES",0,7
1284513368415106,,0,14
1278174522382324,"El pasado Martes 10 se impartió la capacitación sobre Modelos de Negocios, donde participaron micro empresas del municipio de Nueva Granada.
Con el objetivo que los participantes definan con claridad el tipo de producto que ofrecen al mercado local, cómo lo van a hacer, a quién se lo van a vender, cómo se lo van a vender y de qué forma van a generar ingresos.
Conamype El Salvador",1,7
1220859014780542,,1,12
1213958115470632,"Gracias por permitirnos brindarte el acompañamiento y asesoría en el crecimiento de tu negocio. Nos vemos el próximo año, Feliz Navidad.",4,37
1201929723340138,"CDMYPE UGB, participando en la feria de logros de productos locales que ACOAMNME DE R. L, realizo este dia como parte de proyecto : "" Reducción de la pobreza a través del fortalecimiento de las capacidades socio productivas y de comercialización de las cooperativas y productores del bajo Lempa""",2,16
1195071080692669,"Nos ha sorprendido su partida, pero como CDMYPE UGB le recordaremos siempre por ese espíritu luchador y superación.
La empresaria Margarita Marroquín, ha partido a la presencia del Señor, y nos unimos al dolor de la familia Marroquin.
Restaurante Mi Pueblito
Cdmype UGB Usulután
November 22, 2017 at 3:30 PM ·
Restaurante Mi Pueblito , un paraíso escondido en Alegría, Usulután. Nos acompañaran en el ""V Encuentro Empresarial CDMYPE UGB"". No faltes. #creoencdmypeUGB",2,9
1178024635730647,"Recientemente nuestro Asesor TIC Ing. Santiago Rodríguez ha culminado su participación en el Seminario transfronterizo de comercio electrónico para la Cámara Nacional de Comercio e Industria ""One Belt, One Road"" 2019, impartido por la Academia para Oficiales Internacionales de Negocios (AIBO), Ministerio de Comercio de la República Popular de China.
Conamype El Salvador",14,41
,"Cdmype UGB Usulután added 6 new photos — at Hotel Delfin Dorado.
November 1, 2019 at 5:13 PM · El Espino ·
Compartimos parte de los mejores momentos del Taller Vivencial, “Gestión Emocional” realizado en las instalaciones del Hotel Delfín Dorado, playa en El Espino, Jucuarán, Usulután, donde nuestras empresarias disfrutaron de Conferencias, juegos estructurados y talleres.
Un agradecimiento especial a nuestro patrocinador del evento, “CREDICAMPO”.",0,13
1158361454363632,"Por tercer año consecutivos hemos preparado una actividad especial para ti, mujer luchadora y valiente.",0,12
1153905184809259,,1,21
1141200726079705,"""Innovación, tecnología y calidad es el trinomio del desarrollo de todo negocio. Estar abierto a la integración de nuevas ideas y la creación de nuevos productos o servicios, sin perder la esencia del negocio, es una capacidad que significa crecimiento y desarrollo.""
Gracias a todos los que hicieron posible el Seminario TIC: ""Innovación y tecnología para los negocios.""
Les deseamos éxito en la aplicación de las ideas de innovación.
Ponente invitado: Rene M. Lemus Marketing Mauxito Lemus
Fotografías: Stanley Castillo Smart Design Sv Fotografía
// Conamype El Salvador Roberto Torres Raul Lizama Rosibel Flores Rafael Antonio Ortiz Vasquez Paul Steiner",1,43
1139555119577599,"""Tecnología e Innovación es el denominador común para las empresas que inician el proceso de reinventar su funcionamiento en la marea digital.""
Es por ello que la Unidad de Tecnología de CDMYPE UGB realizará este grandioso evento.
Conamype El Salvador Paul Steiner Raul Lizama",0,12
1137358173130627,"""Lidiar con el estrés financiero hace que sea difícil vivir el tipo de vida que deseas"".
Por tal razón, este día se impartió la capacitación financiera denominada: ""El estrés financiero"". Donde más de 25 personas han sido preparadas para manejar la situación financiera de su empresa y sentirse más en control de su vida, reducir su estrés y construir un futuro más seguro.
Ponente: Ing. Ricardo Machado, asesor financiero de CDMYPE UGB.
Conamype El Salvador",1,21
1131830883683356,Nos unimos a su dolor estimada Licda. Rosibel Flores.,0,6
1131237037076074,"""Queremos visionar películas especificas de alto contenido de superación personal y empresarial que sirvan como herramientas para fomentar la cultura emprendedora en las participantes, mediante la participación activa en el análisis del contenido de las películas"".
Confirma tu participación con tu asesor o llama al 2632 1527.
// Conamype El Salvadorl Rosibel Flores Paul Steiner Rafael Antonio Ortiz Vasquez",0,12
1126574860875625,"Agradecimientos especiales a Licda. Katherine Santos docente de la Facultad de Ciencias Empresariales de nuestra Universidad, y a los estudiantes de IX Ciclo, Giovany Roldan y Emerson Perdomo por apoyar en el desarrollo del diplomado y dotar de conocimientos a los participantes.
// Gio Roldan Emerson Prdm",0,21
1126561620876949,"Muchas felicidades a todos los participantes del Diplomado de Métricas del Marketing: ""herramientas esenciales para un alto impacto en ventas"". Actividad que fue coordinada con la facultad de Ciencias Empresariales de la Universidad Gerardo Barrios Usulután.
Asece Usulután Conamype El Salvador Paul Steiner Raul Lizama Rafael Antonio Ortiz Vasquez",0,27
